"X","id","journal","vol","issue","articleNum","title","has.data","url","article.url","data.url","htmlFile","publication.date","data.size","data.unit","keywords","JEL","JEL1","JEL2","JEL3","JEL4","JEL5","JEL6","JEL7","zip.size","data.files.size","size.7z","size.ado","size.c","size.cpp","size.csv","size.dat","size.do","size.dta","size.f95","size.g","size.gms","size.gz","size.java","size.js","size.lng","size.m","size.mat","size.mod","size.nb","size.prg","size.py","size.r","size.rdata","size.sas","size.sas7bdat","size.tar","size.tsp","size.txt","size.xls","size.xlsx","size.xml","size.zip","size.ztt","year","month","date"
1,"aejapp_1_1_1","aejapp",1,1,1,"Editor's Note","FALSE","http://www.aeaweb.org/articles.php?doi=10.1257/app.1.1.iii","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/app.1.1.iii",NA,"D:/libraries/ScrapAER/html/aejapp_vol_1_issue_1_article_1.html","2009/01",0,"MB",NA,"Y20: Introductory Material, , , , , , ","Y20: Introductory Material","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1,"2009-1-01"
2,"aejapp_1_1_10","aejapp",1,1,10,"Fixing Market Failures or Fixing Elections? Agricultural Credit in India","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/app.1.1.219","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/app.1.1.219","http://www.aeaweb.org/aej/app/data/2007-0054_data.zip","D:/libraries/ScrapAER/html/aejapp_vol_1_issue_1_article_10.html","2009/01",0.07817,"MB",NA,"D72: Models of Political Processes: Rent-seeking, Elections, Legislatures, and Voting Behavior, O13: Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products, O17: Formal and Informal Sectors; Shadow Economy; Institutional Arrangements, Q14: Agricultural Finance, Q18: Agricultural Policy; Food Policy, , ","D72: Models of Political Processes: Rent-seeking, Elections, Legislatures, and Voting Behavior","O13: Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products","O17: Formal and Informal Sectors; Shadow Economy; Institutional Arrangements","Q14: Agricultural Finance","Q18: Agricultural Policy; Food Policy","","",0.173445,0.100694,0,0,0,0,0,0,0.009427,0.100694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,1,"2009-1-01"
3,"aejapp_1_1_11","aejapp",1,1,11,"The Social Multiplier and Labor Market Participation of Mothers","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/app.1.1.251","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/app.1.1.251","http://www.aeaweb.org/aej/app/data/2007-0088_data.zip","D:/libraries/ScrapAER/html/aejapp_vol_1_issue_1_article_11.html","2009/01",0.00709,"MB",NA,"J16: Economics of Gender; Non-labor Discrimination, J22: Time Allocation and Labor Supply, , , , , ","J16: Economics of Gender; Non-labor Discrimination","J22: Time Allocation and Labor Supply","","","","","",0.017085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006078,0,0,0,0,0,2009,1,"2009-1-01"
4,"aejapp_1_1_2","aejapp",1,1,2,"Educational Debt Burden and Career Choice: Evidence from a Financial Aid Experiment at NYU Law School","FALSE","http://www.aeaweb.org/articles.php?doi=10.1257/app.1.1.1","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/app.1.1.1",NA,"D:/libraries/ScrapAER/html/aejapp_vol_1_issue_1_article_2.html","2009/01",0,"MB",NA,"D14: Personal Finance, I21: Analysis of Education, I22: Educational Finance, J44: Professional Labor Markets; Occupational Licensing, , , ","D14: Personal Finance","I21: Analysis of Education","I22: Educational Finance","J44: Professional Labor Markets; Occupational Licensing","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1,"2009-1-01"
5,"aejapp_1_1_3","aejapp",1,1,3,"Labor Supply Responses to Large Social Transfers: Longitudinal Evidence from South Africa","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/app.1.1.22","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/app.1.1.22","http://www.aeaweb.org/aej-applied/data/2007-0043_data.zip","D:/libraries/ScrapAER/html/aejapp_vol_1_issue_1_article_3.html","2009/01",0.13184,"MB",NA,"H23: Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies, H55: Social Security and Public Pensions, I38: Welfare and Poverty: Government Programs; Provision and Effects of Welfare Programs, J22: Time Allocation and Labor Supply, O15: Economic Development: Human Resources; Human Development; Income Distribution; Migration, , ","H23: Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies","H55: Social Security and Public Pensions","I38: Welfare and Poverty: Government Programs; Provision and Effects of Welfare Programs","J22: Time Allocation and Labor Supply","O15: Economic Development: Human Resources; Human Development; Income Distribution; Migration","","",0.676736,0,0,0,0,0,0,0,0.103628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,1,"2009-1-01"
6,"aejapp_1_1_4","aejapp",1,1,4,"Separated at Girth: US Twin Estimates of the Effects of Birth Weight","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/app.1.1.49","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/app.1.1.49","http://www.aeaweb.org/aej-applied/data/2007-0002_data.zip","D:/libraries/ScrapAER/html/aejapp_vol_1_issue_1_article_4.html","2009/01",52.77,"MB",NA,"I12: Health Production, I21: Analysis of Education, J13: Fertility; Family Planning; Child Care; Children; Youth, , , , ","I12: Health Production","I21: Analysis of Education","J13: Fertility; Family Planning; Child Care; Children; Youth","","","","",229.983878,7.179782,0,0,0,0,0.024872,7.15491,0.121618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208278,0,0,0,0.007829,0,0,0,0,0,2009,1,"2009-1-01"
7,"aejapp_1_1_5","aejapp",1,1,5,"Sticking with Your Vote: Cognitive Dissonance and Political Attitudes","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/app.1.1.86","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/app.1.1.86","http://www.aeaweb.org/aej-applied/data/2007-0018_data.zip","D:/libraries/ScrapAER/html/aejapp_vol_1_issue_1_article_5.html","2009/01",0.05757,"MB",NA,"D72: Models of Political Processes: Rent-seeking, Elections, Legislatures, and Voting Behavior, , , , , , ","D72: Models of Political Processes: Rent-seeking, Elections, Legislatures, and Voting Behavior","","","","","","",0.469336,0.418088,0,0,0,0,0,0,0.03998,0.418088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,1,"2009-1-01"
8,"aejapp_1_1_6","aejapp",1,1,6,"Many Children Left Behind? Textbooks and Test Scores in Kenya","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/app.1.1.112","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/app.1.1.112","http://www.aeaweb.org/aej-applied/data/2007-0011_data.zip","D:/libraries/ScrapAER/html/aejapp_vol_1_issue_1_article_6.html","2009/01",0.08315,"MB",NA,"I21: Analysis of Education, I28: Education: Government Policy, J13: Fertility; Family Planning; Child Care; Children; Youth, O15: Economic Development: Human Resources; Human Development; Income Distribution; Migration, , , ","I21: Analysis of Education","I28: Education: Government Policy","J13: Fertility; Family Planning; Child Care; Children; Youth","O15: Economic Development: Human Resources; Human Development; Income Distribution; Migration","","","",0.493232,0.159753,0,0,0,0,0,0,0.203474,0.159753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058325,0,0,0,0,0,0,0,0,0,2009,1,"2009-1-01"
9,"aejapp_1_1_7","aejapp",1,1,7,"Incentives and Services for College Achievement: Evidence from a Randomized Trial","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/app.1.1.136","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/app.1.1.136","http://www.aeaweb.org/aej-applied/data/2007-0062_data.zip","D:/libraries/ScrapAER/html/aejapp_vol_1_issue_1_article_7.html","2009/01",0.05564,"MB",NA,"I21: Analysis of Education, I28: Education: Government Policy, , , , , ","I21: Analysis of Education","I28: Education: Government Policy","","","","","",0.057758,0.057758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057758,0,2009,1,"2009-1-01"
10,"aejapp_1_1_8","aejapp",1,1,8,"The Effect of Alcohol Consumption on Mortality: Regression Discontinuity Evidence from the Minimum Drinking Age","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/app.1.1.164","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/app.1.1.164","http://www.aeaweb.org/aej-applied/data/2007-0089_data.zip","D:/libraries/ScrapAER/html/aejapp_vol_1_issue_1_article_8.html","2009/01",0.50476,"MB",NA,"I12: Health Production, I18: Health: Government Policy; Regulation; Public Health, , , , , ","I12: Health Production","I18: Health: Government Policy; Regulation; Public Health","","","","","",3.388228,0,0,0,0,0,0,0,0.022552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.338028,0,0,0,0,0,0,0,0,0,2009,1,"2009-1-01"
