"X","id","journ","vol","issue","articleNum","title","has.data","url","article.url","data.url","htmlFile","publication.date","data.size","data.unit","keywords","JEL","JEL1","JEL2","JEL3","JEL4","JEL5","JEL6","JEL7","zip.size","data.files.size","size.7z","size.ado","size.c","size.cpp","size.csv","size.dat","size.do","size.dta","size.f95","size.g","size.gms","size.gz","size.java","size.js","size.lng","size.m","size.mat","size.mod","size.nb","size.prg","size.py","size.r","size.rdata","size.sas","size.sas7bdat","size.tar","size.tsp","size.txt","size.xls","size.xlsx","size.xml","size.zip","size.ztt","year","month","date"
96,"aer_104_4_7","aer",104,4,7,"Bidding for Incomplete Contracts: An Empirical Analysis of Adaptation Costs","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.104.4.1288","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.104.4.1288","http://www.aeaweb.org/aer/data/10404/20100396_data.zip","D:/data/EconJournalData/html/aer_vol_104_issue_4_article_7.html","2014/04",12.16,"MB",NA,"D44: Auctions, D82: Asymmetric and Private Information; Mechanism Design, D86: Economics of Contract: Theory, H57: National Government Expenditures and Related Policies: Procurement, L13: Oligopoly and Other Imperfect Markets, L74: Construction, R42: Transportation Economics: Government and Private Investment Analysis; Road Maintenance, Transportation Planning","D44: Auctions","D82: Asymmetric and Private Information; Mechanism Design","D86: Economics of Contract: Theory","H57: National Government Expenditures and Related Policies: Procurement","L13: Oligopoly and Other Imperfect Markets","L74: Construction","R42: Transportation Economics: Government and Private Investment Analysis; Road Maintenance, Transportation Planning",82.716748,82.39605,0,0,0,0,3.363668,0,0.022685,79.032382,0,0,0,0,0,0,0,0.022117,0,0,0,0,0,0,0,0,0,0,0,0.025303,0,0,0,0,0,2014,4,"2014-4-01"
51,"aer_100_3_4","aer",100,3,4,"A Study of the Internal Organization of a Bidding Cartel","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.100.3.724","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.100.3.724","http://www.aeaweb.org/aer/data/june2010/20071457_data.zip","D:/libraries/ScrapAER/html/aer_vol_100_issue_3_article_4.html","2010/06",0.33829,"MB",NA,"D43: Market Structure and Pricing: Oligopoly and Other Forms of Market Imperfection, D44: Auctions, L12: Monopoly; Monopolization Strategies, , , , ","D43: Market Structure and Pricing: Oligopoly and Other Forms of Market Imperfection","D44: Auctions","L12: Monopoly; Monopolization Strategies","","","","",1.883231,0.804397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324755,0.005165,0,0,0,0,0,0,0,0,0,0,0.602089,0.799232,0,0,0,0,2010,6,"2010-6-01"
50,"aer_101_4_18","aer",101,4,18,"Asymmetric Information, Adverse Selection and Online Disclosure: The Case of eBay Motors","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.101.4.1535","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.101.4.1535","http://www.aeaweb.org/aer/data/june2011/20090124_data.zip","D:/libraries/ScrapAER/html/aer_vol_101_issue_4_article_18.html","2011/06",56.34,"MB",NA,"D44: Auctions, D82: Asymmetric and Private Information, L81: Retail and Wholesale Trade; e-Commerce, , , , ","D44: Auctions","D82: Asymmetric and Private Information","L81: Retail and Wholesale Trade; e-Commerce","","","","",288.761508,288.738392,0,0,0,0,0,0,0.019849,288.738392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003267,0,0,0,0,0,2011,5,"2011-5-01"
45,"aer_99_3_8","aer",99,3,8,"Strategic Leniency and Cartel Enforcement","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.99.3.750","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.99.3.750","http://www.aeaweb.org/aer/data/june09/20070198_data.zip","D:/libraries/ScrapAER/html/aer_vol_99_issue_3_article_8.html","2009/06",0.1809,"MB",NA,"D43: Market Structure and Pricing: Oligopoly and Other Forms of Market Imperfection, K21: Antitrust Law, L12: Monopoly; Monopolization Strategies, L13: Oligopoly and Other Imperfect Markets, , , ","D43: Market Structure and Pricing: Oligopoly and Other Forms of Market Imperfection","K21: Antitrust Law","L12: Monopoly; Monopolization Strategies","L13: Oligopoly and Other Imperfect Markets","","","",0.797507,0.752765,0,0,0,0,0.001184,0,0.019654,0.077789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673792,0,0,0,0,2009,6,"2009-6-01"
30,"aer_102_2_15","aer",102,2,15,"Credit Booms Gone Bust: Monetary Policy, Leverage Cycles, and Financial Crises, 1870-2008","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.102.2.1029","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.102.2.1029","http://www.aeaweb.org/aer/data/april2012/20091267_data.zip","D:/libraries/ScrapAER/html/aer_vol_102_issue_2_article_15.html","2012/04",1.26,"MB",NA,"E32: Business Fluctuations; Cycles, E44: Financial Markets and the Macroeconomy, E52: Monetary Policy, G01: Financial Crises, N10: Economic History: Macroeconomics and Monetary Economics; Growth and Fluctuations: General, International, or Comparative, N20: Economic History: Financial Markets and Institutions: General, International, or Comparative, ","E32: Business Fluctuations; Cycles","E44: Financial Markets and the Macroeconomy","E52: Monetary Policy","G01: Financial Crises","N10: Economic History: Macroeconomics and Monetary Economics; Growth and Fluctuations: General, International, or Comparative","N20: Economic History: Financial Markets and Institutions: General, International, or Comparative","",2.102387,0.130461,0,0,0,0,0,0,0.059852,0.130461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019425,0,0,0,0,0,2012,4,"2012-4-01"
79,"aer_101_5_2","aer",101,5,2,"From Financial Crash to Debt Crisis","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.101.5.1676","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.101.5.1676","http://www.aeaweb.org/aer/data/aug2011/20080344_data.zip","D:/libraries/ScrapAER/html/aer_vol_101_issue_5_article_2.html","2011/08",4.77,"MB",NA,"E44: Financial Markets and the Macroeconomy, F34: International Lending and Debt Problems, F44: International Business Cycles, G01: Financial Crises, H63: National Debt; Debt Management; Sovereign Debt, N20: Economic History: Financial Markets and Institutions: General, International, or Comparative, ","E44: Financial Markets and the Macroeconomy","F34: International Lending and Debt Problems","F44: International Business Cycles","G01: Financial Crises","H63: National Debt; Debt Management; Sovereign Debt","N20: Economic History: Financial Markets and Institutions: General, International, or Comparative","",17.801528,17.29783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03001,0.162269,17.219584,0.078246,0,0,0,2011,8,"2011-8-01"
47,"jep_28_4_4","jep",28,4,4,"How Can Scandinavians Tax So Much?","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/jep.28.4.77","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/jep.28.4.77","http://www.aeaweb.org/jep/data/2804/28040077_data.zip","D:/data/EconJournalData/html/jep_vol_28_issue_4_article_4.html","2014/11",1.32,"MB",NA,"D31: Personal Income, Wealth, and Their Distributions, H23: Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies, H24: Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes, H26: Tax Evasion and Avoidance, I38: Welfare, Well-Being, and Poverty: Government Programs; Provision and Effects of Welfare Programs, , ","D31: Personal Income, Wealth, and Their Distributions","H23: Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies","H24: Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes","H26: Tax Evasion and Avoidance","I38: Welfare, Well-Being, and Poverty: Government Programs; Provision and Effects of Welfare Programs","","",17.737417,17.699438,0,0,0,0,0,0,0.037425,17.699438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554,0,0,0,0,0,2014,10,"2014-10-01"
20,"aejmac_6_3_6","aejmac",6,3,6,"The Global Welfare Impact of China: Trade Integration and Technological Change","TRUE","http://www.aeaweb.org/articles.php?doi=10.1257/mac.6.3.153","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/mac.6.3.153","https://www.aeaweb.org/aej/mac/data/0603/2013-0029_data.zip","D:/data/EconJournalData/html/aejmac_vol_6_issue_3_article_6.html","2014/07",4.36,"MB",NA,"F14: Empirical Studies of Trade, F43: Economic Growth of Open Economies, O19: International Linkages to Development; Role of International Organizations, O33: Technological Change: Choices and Consequences; Diffusion Processes, O47: Measurement of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence, P24: Socialist Systems and Transitional Economies: National Income, Product, and Expenditure; Money; Inflation, P33: Socialist Institutions and Their Transitions: International Trade, Finance, Investment, Relations, and Aid","F14: Empirical Studies of Trade","F43: Economic Growth of Open Economies","O19: International Linkages to Development; Role of International Organizations","O33: Technological Change: Choices and Consequences; Diffusion Processes","O47: Measurement of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence","P24: Socialist Systems and Transitional Economies: National Income, Product, and Expenditure; Money; Inflation","P33: Socialist Institutions and Their Transitions: International Trade, Finance, Investment, Relations, and Aid",16.012108,15.816019,0,0,0,0,0,0,0.018443,15.816019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,7,"2014-7-01"
246,"aer_104_9_6","aer",104,9,6,"Wall Street and the Housing Bubble","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.104.9.2763","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.104.9.2797","https://www.aeaweb.org/aer/data/10409/20130297_data.zip","D:/data/EconJournalData/html/aer_vol_104_issue_9_article_6.html","2014/09",0.98543,"MB",NA,"D14: Household Saving; Personal Finance, D83: Search; Learning; Information and Knowledge; Communication; Belief, E32: Business Fluctuations; Cycles, E44: Financial Markets and the Macroeconomy, G01: Financial Crises, G21: Banks; Depository Institutions; Micro Finance Institutions; Mortgages, R31: Housing Supply and Markets","D14: Household Saving; Personal Finance","D83: Search; Learning; Information and Knowledge; Communication; Belief","E32: Business Fluctuations; Cycles","E44: Financial Markets and the Macroeconomy","G01: Financial Crises","G21: Banks; Depository Institutions; Micro Finance Institutions; Mortgages","R31: Housing Supply and Markets",3.01468,2.898465,0,0,0,0,0,0,0.039895,2.898465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,9,"2014-9-01"
245,"aer_104_9_5","aer",104,9,5,"Subways, Strikes, and Slowdowns: The Impacts of Public Transit on Traffic Congestion","TRUE","https://www.aeaweb.org/articles.php?doi=10.1257/aer.104.9.2736","http://www.aeaweb.org//atypon.php?return_to=/doi/pdfplus/10.1257/aer.104.9.2763","https://www.aeaweb.org/aer/data/10409/20130116_data.zip","D:/data/EconJournalData/html/aer_vol_104_issue_9_article_5.html","2014/09",746.09,"MB",NA,"H76: State and Local Government: Other Expenditure Categories, J52: Dispute Resolution: Strikes, Arbitration, and Mediation; Collective Bargaining, L92: Railroads and Other Surface Transportation, R41: Transportation: Demand, Supply, and Congestion; Safety and Accidents; Transportation Noise, , , ","H76: State and Local Government: Other Expenditure Categories","J52: Dispute Resolution: Strikes, Arbitration, and Mediation; Collective Bargaining","L92: Railroads and Other Surface Transportation","R41: Transportation: Demand, Supply, and Congestion; Safety and Accidents; Transportation Noise","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,9,"2014-9-01"
