"id","jel"
"aer_96_4_8","0"
"aer_96_4_8","0"
"aejapp_1_2_7","A"
"aejapp_5_3_4","A"
"aejmac_1_1_11","A"
"aejmic_3_4_4","A"
"aejmic_4_4_7","A"
"aer_100_2_53","A"
"aer_100_2_55","A"
"aer_100_2_56","A"
"aer_100_2_67","A"
"aer_100_2_68","A"
"aer_101_1_2","A"
"aer_101_3_29","A"
"aer_101_3_30","A"
"aer_101_3_31","A"
"aer_101_3_32","A"
"aer_101_3_33","A"
"aer_101_3_86","A"
"aer_101_4_4","A"
"aer_103_1_17","A"
"aer_103_1_19","A"
"aer_103_6_5","A"
"aer_104_1_5","A"
"aer_96_4_16","A"
"aer_98_2_91","A"
"aer_98_2_92","A"
"jep_27_2_9","A"
"jep_27_4_7","A"
"jep_27_4_8","A"
"jep_28_1_10","A"
"jep_28_3_10","A"
"jep_28_3_11","A"
"jep_28_3_8","A"
"jep_28_3_9","A"
"aer_101_3_32","A"
"aer_101_3_33","A"
"aer_98_2_90","A"
"aer_101_3_32","A"
"aer_101_3_33","A"
"aer_101_3_33","A"
"aer_101_3_33","A"
"aejmac_6_3_5","B"
"aejmic_1_2_3","B"
"aer_100_3_1","B"
"aer_101_1_1","B"
"aer_101_1_4","B"
"aer_101_2_12","B"
"aer_102_4_1","B"
"aer_103_3_7","B"
"aer_103_3_8","B"
"aer_103_3_9","B"
"aer_104_8_2","B"
"aer_98_2_93","B"
"jep_27_3_11","B"
"jep_27_4_6","B"
"jep_28_2_10","B"
"jep_28_2_7","B"
"jep_28_3_4","B"
"aer_101_1_1","B"
"aer_101_1_2","B"
"aer_101_3_31","B"
"aer_102_4_1","B"
"jep_27_4_7","B"
"jep_27_4_8","B"
"aer_101_1_2","B"
"aer_101_3_31","B"
"aejapp_1_4_7","C"
"aejapp_1_4_8","C"
"aejapp_3_1_9","C"
"aejapp_3_2_6","C"
"aejapp_4_1_6","C"
"aejapp_4_2_1","C"
"aejapp_4_2_5","C"
"aejapp_4_3_8","C"
"aejapp_5_2_5","C"
"aejapp_5_2_6","C"
"aejapp_6_3_6","C"
"aejapp_6_4_4","C"
"aejmac_2_4_1","C"
"aejmac_2_4_2","C"
"aejmac_2_4_3","C"
"aejmac_3_1_3","C"
"aejmac_3_1_7","C"
"aejmac_3_2_9","C"
"aejmac_3_3_1","C"
"aejmac_3_3_3","C"
"aejmac_3_4_4","C"
"aejmac_4_1_5","C"
"aejmac_4_1_9","C"
"aejmac_4_2_3","C"
"aejmac_4_4_3","C"
"aejmac_4_4_6","C"
"aejmac_5_1_7","C"
"aejmac_5_2_5","C"
"aejmac_5_2_7","C"
"aejmac_6_1_1","C"
"aejmac_6_2_5","C"
"aejmac_6_2_6","C"
"aejmic_1_1_8","C"
"aejmic_1_1_9","C"
"aejmic_1_2_10","C"
"aejmic_1_2_11","C"
"aejmic_1_2_7","C"
"aejmic_2_1_1","C"
"aejmic_2_1_2","C"
"aejmic_2_1_5","C"
"aejmic_2_2_2","C"
"aejmic_2_2_5","C"
"aejmic_2_4_4","C"
"aejmic_2_4_7","C"
"aejmic_3_1_6","C"
"aejmic_3_3_1","C"
"aejmic_3_3_4","C"
"aejmic_3_3_7","C"
"aejmic_3_4_5","C"
"aejmic_4_1_2","C"
"aejmic_4_1_3","C"
"aejmic_4_1_4","C"
"aejmic_4_1_5","C"
"aejmic_4_1_7","C"
"aejmic_4_1_8","C"
"aejmic_4_2_2","C"
"aejmic_4_2_4","C"
"aejmic_4_2_6","C"
"aejmic_4_3_8","C"
"aejmic_4_4_2","C"
"aejmic_4_4_5","C"
"aejmic_4_4_6","C"
"aejmic_5_2_2","C"
"aejmic_5_2_4","C"
"aejmic_5_2_8","C"
"aejmic_5_4_2","C"
"aejmic_5_4_5","C"
"aejmic_5_4_9","C"
"aejmic_6_1_11","C"
"aejmic_6_1_5","C"
"aejmic_6_1_8","C"
"aejmic_6_2_2","C"
"aejmic_6_2_4","C"
"aejmic_6_2_8","C"
"aejmic_6_3_4","C"
"aejmic_6_3_5","C"
"aejmic_6_3_7","C"
"aejmic_6_3_9","C"
"aejmic_6_4_10","C"
"aejmic_6_4_13","C"
"aejmic_6_4_5","C"
"aejmic_6_4_7","C"
"aejpol_3_3_8","C"
"aejpol_4_2_1","C"
"aejpol_4_2_3","C"
"aejpol_4_2_4","C"
"aejpol_4_4_1","C"
"aejpol_5_1_3","C"
"aejpol_5_4_2","C"
"aejpol_5_4_9","C"
"aer_100_1_1","C"
"aer_100_1_10","C"
"aer_100_1_15","C"
"aer_100_1_16","C"
"aer_100_1_22","C"
"aer_100_1_28","C"
"aer_100_1_5","C"
"aer_100_2_22","C"
"aer_100_2_65","C"
"aer_100_3_11","C"
"aer_100_3_12","C"
"aer_100_3_6","C"
"aer_100_3_9","C"
"aer_100_4_12","C"
"aer_100_4_15","C"
"aer_100_4_18","C"
"aer_100_4_24","C"
"aer_100_4_3","C"
"aer_100_4_9","C"
"aer_100_5_10","C"
"aer_100_5_17","C"
"aer_100_5_20","C"
"aer_100_5_24","C"
"aer_100_5_7","C"
"aer_100_5_9","C"
"aer_101_1_17","C"
"aer_101_1_7","C"
"aer_101_2_16","C"
"aer_101_2_17","C"
"aer_101_2_18","C"
"aer_101_2_19","C"
"aer_101_2_20","C"
"aer_101_2_21","C"
"aer_101_2_22","C"
"aer_101_2_23","C"
"aer_101_2_5","C"
"aer_101_3_100","C"
"aer_101_3_20","C"
"aer_101_3_34","C"
"aer_101_3_39","C"
"aer_101_3_59","C"
"aer_101_3_60","C"
"aer_101_3_88","C"
